項目,世帯区分,年間収入五分位,時期,値,単位
可処分所得,勤労者世帯,年収五分位5,2023000103,598727,円
可処分所得,勤労者世帯,年収五分位5,2023000406,753450,円
可処分所得,勤労者世帯,年収五分位5,2023000709,640728,円
可処分所得,勤労者世帯,年収五分位5,2023001012,886368,円
可処分所得,勤労者世帯,年収五分位5,2024000103,607253,円
可処分所得,勤労者世帯,年収五分位5,2024000406,812341,円
可処分所得,勤労者世帯,年収五分位5,2024000709,670606,円
可処分所得,勤労者世帯,年収五分位5,2024001012,926822,円
可処分所得,勤労者世帯,年収五分位5,2025000103,615530,円
可処分所得,勤労者世帯,年収五分位5,2025000406,803673,円
可処分所得,勤労者世帯,年収五分位5,2025000709,704788,円
可処分所得,勤労者世帯,年収五分位5,2025001012,930397,円
可処分所得,勤労者世帯,年収五分位5,2026000103,643336,円
黒字,勤労者世帯,年収五分位1,2000000103,14952,円
黒字,勤労者世帯,年収五分位1,2000000406,52410,円
黒字,勤労者世帯,年収五分位1,2000000709,33770,円
黒字,勤労者世帯,年収五分位1,2000001012,71963,円
黒字,勤労者世帯,年収五分位1,2001000103,23737,円
黒字,勤労者世帯,年収五分位1,2001000406,64860,円
黒字,勤労者世帯,年収五分位1,2001000709,35713,円
黒字,勤労者世帯,年収五分位1,2001001012,61178,円
黒字,勤労者世帯,年収五分位1,2002000103,23845,円
黒字,勤労者世帯,年収五分位1,2002000406,40155,円
黒字,勤労者世帯,年収五分位1,2002000709,35805,円
黒字,勤労者世帯,年収五分位1,2002001012,58509,円
黒字,勤労者世帯,年収五分位1,2003000103,13844,円
黒字,勤労者世帯,年収五分位1,2003000406,48546,円
黒字,勤労者世帯,年収五分位1,2003000709,37315,円
黒字,勤労者世帯,年収五分位1,2003001012,60296,円
黒字,勤労者世帯,年収五分位1,2004000103,19673,円
黒字,勤労者世帯,年収五分位1,2004000406,42209,円
黒字,勤労者世帯,年収五分位1,2004000709,23309,円
黒字,勤労者世帯,年収五分位1,2004001012,61112,円
黒字,勤労者世帯,年収五分位1,2005000103,25724,円
黒字,勤労者世帯,年収五分位1,2005000406,38783,円
黒字,勤労者世帯,年収五分位1,2005000709,27163,円
黒字,勤労者世帯,年収五分位1,2005001012,54723,円
黒字,勤労者世帯,年収五分位1,2006000103,19330,円
黒字,勤労者世帯,年収五分位1,2006000406,40912,円
黒字,勤労者世帯,年収五分位1,2006000709,37420,円
黒字,勤労者世帯,年収五分位1,2006001012,63059,円
黒字,勤労者世帯,年収五分位1,2007000103,24017,円
黒字,勤労者世帯,年収五分位1,2007000406,45721,円
黒字,勤労者世帯,年収五分位1,2007000709,28478,円
黒字,勤労者世帯,年収五分位1,2007001012,58892,円
黒字,勤労者世帯,年収五分位1,2008000103,8897,円
黒字,勤労者世帯,年収五分位1,2008000406,41347,円
黒字,勤労者世帯,年収五分位1,2008000709,39128,円
黒字,勤労者世帯,年収五分位1,2008001012,58504,円
黒字,勤労者世帯,年収五分位1,2009000103,21833,円
黒字,勤労者世帯,年収五分位1,2009000406,48568,円
黒字,勤労者世帯,年収五分位1,2009000709,41927,円
黒字,勤労者世帯,年収五分位1,2009001012,69348,円
黒字,勤労者世帯,年収五分位1,2010000103,28258,円
黒字,勤労者世帯,年収五分位1,2010000406,45634,円
黒字,勤労者世帯,年収五分位1,2010000709,33617,円
黒字,勤労者世帯,年収五分位1,2010001012,72168,円
黒字,勤労者世帯,年収五分位1,2011000103,23664,円
黒字,勤労者世帯,年収五分位1,2011000406,51478,円
黒字,勤労者世帯,年収五分位1,2011000709,28916,円
黒字,勤労者世帯,年収五分位1,2011001012,56149,円
黒字,勤労者世帯,年収五分位1,2012000103,22372,円
黒字,勤労者世帯,年収五分位1,2012000406,48209,円
黒字,勤労者世帯,年収五分位1,2012000709,28624,円
黒字,勤労者世帯,年収五分位1,2012001012,76170,円
黒字,勤労者世帯,年収五分位1,2013000103,30672,円
黒字,勤労者世帯,年収五分位1,2013000406,50654,円
黒字,勤労者世帯,年収五分位1,2013000709,31756,円
黒字,勤労者世帯,年収五分位1,2013001012,70260,円
黒字,勤労者世帯,年収五分位1,2014000103,27715,円
黒字,勤労者世帯,年収五分位1,2014000406,45648,円
黒字,勤労者世帯,年収五分位1,2014000709,25220,円
黒字,勤労者世帯,年収五分位1,2014001012,55914,円
黒字,勤労者世帯,年収五分位1,2015000103,10814,円
黒字,勤労者世帯,年収五分位1,2015000406,42674,円
黒字,勤労者世帯,年収五分位1,2015000709,38438,円
黒字,勤労者世帯,年収五分位1,2015001012,76315,円
黒字,勤労者世帯,年収五分位1,2016000103,28522,円
黒字,勤労者世帯,年収五分位1,2016000406,38232,円
黒字,勤労者世帯,年収五分位1,2016000709,35818,円
黒字,勤労者世帯,年収五分位1,2016001012,63390,円
黒字,勤労者世帯,年収五分位1,2017000103,27316,円
黒字,勤労者世帯,年収五分位1,2017000406,47185,円
黒字,勤労者世帯,年収五分位1,2017000709,45473,円
黒字,勤労者世帯,年収五分位1,2017001012,59386,円
黒字,勤労者世帯,年収五分位1,2018000103,26253,円
黒字,勤労者世帯,年収五分位1,2018000406,53443,円
黒字,勤労者世帯,年収五分位1,2018000709,26218,円
黒字,勤労者世帯,年収五分位1,2018001012,78325,円
黒字,勤労者世帯,年収五分位1,2019000103,28303,円
黒字,勤労者世帯,年収五分位1,2019000406,62616,円
黒字,勤労者世帯,年収五分位1,2019000709,36445,円
黒字,勤労者世帯,年収五分位1,2019001012,81091,円
黒字,勤労者世帯,年収五分位1,2020000103,39048,円
黒字,勤労者世帯,年収五分位1,2020000406,76252,円
黒字,勤労者世帯,年収五分位1,2020000709,57565,円
黒字,勤労者世帯,年収五分位1,2020001012,92461,円
黒字,勤労者世帯,年収五分位1,2021000103,29203,円
黒字,勤労者世帯,年収五分位1,2021000406,61363,円
黒字,勤労者世帯,年収五分位1,2021000709,52469,円
黒字,勤労者世帯,年収五分位1,2021001012,83584,円
黒字,勤労者世帯,年収五分位1,2022000103,33967,円
黒字,勤労者世帯,年収五分位1,2022000406,73619,円
黒字,勤労者世帯,年収五分位1,2022000709,64854,円
黒字,勤労者世帯,年収五分位1,2022001012,97062,円
黒字,勤労者世帯,年収五分位1,2023000103,36805,円
黒字,勤労者世帯,年収五分位1,2023000406,79286,円
黒字,勤労者世帯,年収五分位1,2023000709,51040,円
黒字,勤労者世帯,年収五分位1,2023001012,95914,円
黒字,勤労者世帯,年収五分位1,2024000103,33035,円
黒字,勤労者世帯,年収五分位1,2024000406,92975,円
黒字,勤労者世帯,年収五分位1,2024000709,47108,円
黒字,勤労者世帯,年収五分位1,2024001012,118676,円
黒字,勤労者世帯,年収五分位1,2025000103,44514,円
黒字,勤労者世帯,年収五分位1,2025000406,80805,円
黒字,勤労者世帯,年収五分位1,2025000709,46515,円
黒字,勤労者世帯,年収五分位1,2025001012,117145,円
黒字,勤労者世帯,年収五分位1,2026000103,44246,円
黒字,勤労者世帯,年収五分位2,2000000103,45814,円
黒字,勤労者世帯,年収五分位2,2000000406,62161,円
黒字,勤労者世帯,年収五分位2,2000000709,62361,円
黒字,勤労者世帯,年収五分位2,2000001012,135675,円
黒字,勤労者世帯,年収五分位2,2001000103,44807,円
黒字,勤労者世帯,年収五分位2,2001000406,84728,円
黒字,勤労者世帯,年収五分位2,2001000709,61064,円
黒字,勤労者世帯,年収五分位2,2001001012,124821,円
黒字,勤労者世帯,年収五分位2,2002000103,40063,円
黒字,勤労者世帯,年収五分位2,2002000406,75209,円
黒字,勤労者世帯,年収五分位2,2002000709,60312,円
黒字,勤労者世帯,年収五分位2,2002001012,118298,円
黒字,勤労者世帯,年収五分位2,2003000103,38096,円
黒字,勤労者世帯,年収五分位2,2003000406,76966,円
黒字,勤労者世帯,年収五分位2,2003000709,68109,円
黒字,勤労者世帯,年収五分位2,2003001012,120406,円
黒字,勤労者世帯,年収五分位2,2004000103,40895,円
黒字,勤労者世帯,年収五分位2,2004000406,58791,円
黒字,勤労者世帯,年収五分位2,2004000709,66871,円
黒字,勤労者世帯,年収五分位2,2004001012,107159,円
黒字,勤労者世帯,年収五分位2,2005000103,45223,円
黒字,勤労者世帯,年収五分位2,2005000406,67684,円
黒字,勤労者世帯,年収五分位2,2005000709,52071,円
黒字,勤労者世帯,年収五分位2,2005001012,100536,円
黒字,勤労者世帯,年収五分位2,2006000103,49981,円
黒字,勤労者世帯,年収五分位2,2006000406,70036,円
黒字,勤労者世帯,年収五分位2,2006000709,72082,円
黒字,勤労者世帯,年収五分位2,2006001012,114707,円
黒字,勤労者世帯,年収五分位2,2007000103,51789,円
黒字,勤労者世帯,年収五分位2,2007000406,83095,円
黒字,勤労者世帯,年収五分位2,2007000709,62792,円
黒字,勤労者世帯,年収五分位2,2007001012,101789,円
黒字,勤労者世帯,年収五分位2,2008000103,40515,円
黒字,勤労者世帯,年収五分位2,2008000406,73688,円
黒字,勤労者世帯,年収五分位2,2008000709,55599,円
黒字,勤労者世帯,年収五分位2,2008001012,106635,円
黒字,勤労者世帯,年収五分位2,2009000103,29101,円
黒字,勤労者世帯,年収五分位2,2009000406,68741,円
黒字,勤労者世帯,年収五分位2,2009000709,54741,円
黒字,勤労者世帯,年収五分位2,2009001012,81712,円
黒字,勤労者世帯,年収五分位2,2010000103,42806,円
黒字,勤労者世帯,年収五分位2,2010000406,86186,円
黒字,勤労者世帯,年収五分位2,2010000709,59349,円
黒字,勤労者世帯,年収五分位2,2010001012,114569,円
黒字,勤労者世帯,年収五分位2,2011000103,43118,円
黒字,勤労者世帯,年収五分位2,2011000406,72171,円
黒字,勤労者世帯,年収五分位2,2011000709,63965,円
黒字,勤労者世帯,年収五分位2,2011001012,93693,円
黒字,勤労者世帯,年収五分位2,2012000103,43816,円
黒字,勤労者世帯,年収五分位2,2012000406,95006,円
黒字,勤労者世帯,年収五分位2,2012000709,51640,円
黒字,勤労者世帯,年収五分位2,2012001012,102623,円
黒字,勤労者世帯,年収五分位2,2013000103,26666,円
黒字,勤労者世帯,年収五分位2,2013000406,57671,円
黒字,勤労者世帯,年収五分位2,2013000709,50384,円
黒字,勤労者世帯,年収五分位2,2013001012,103085,円
黒字,勤労者世帯,年収五分位2,2014000103,21154,円
黒字,勤労者世帯,年収五分位2,2014000406,73900,円
黒字,勤労者世帯,年収五分位2,2014000709,57627,円
黒字,勤労者世帯,年収五分位2,2014001012,109229,円
黒字,勤労者世帯,年収五分位2,2015000103,35052,円
黒字,勤労者世帯,年収五分位2,2015000406,83830,円
黒字,勤労者世帯,年収五分位2,2015000709,43900,円
黒字,勤労者世帯,年収五分位2,2015001012,104858,円
黒字,勤労者世帯,年収五分位2,2016000103,46674,円
黒字,勤労者世帯,年収五分位2,2016000406,77204,円
黒字,勤労者世帯,年収五分位2,2016000709,66035,円
黒字,勤労者世帯,年収五分位2,2016001012,115680,円
黒字,勤労者世帯,年収五分位2,2017000103,40005,円
黒字,勤労者世帯,年収五分位2,2017000406,82523,円
黒字,勤労者世帯,年収五分位2,2017000709,51488,円
黒字,勤労者世帯,年収五分位2,2017001012,139822,円
黒字,勤労者世帯,年収五分位2,2018000103,32540,円
黒字,勤労者世帯,年収五分位2,2018000406,94032,円
黒字,勤労者世帯,年収五分位2,2018000709,76479,円
黒字,勤労者世帯,年収五分位2,2018001012,120412,円
黒字,勤労者世帯,年収五分位2,2019000103,53328,円
黒字,勤労者世帯,年収五分位2,2019000406,114237,円
黒字,勤労者世帯,年収五分位2,2019000709,59212,円
黒字,勤労者世帯,年収五分位2,2019001012,149295,円
黒字,勤労者世帯,年収五分位2,2020000103,61853,円
黒字,勤労者世帯,年収五分位2,2020000406,181085,円
黒字,勤労者世帯,年収五分位2,2020000709,89127,円
黒字,勤労者世帯,年収五分位2,2020001012,151559,円
黒字,勤労者世帯,年収五分位2,2021000103,75301,円
黒字,勤労者世帯,年収五分位2,2021000406,119172,円
黒字,勤労者世帯,年収五分位2,2021000709,106083,円
黒字,勤労者世帯,年収五分位2,2021001012,153857,円
黒字,勤労者世帯,年収五分位2,2022000103,63179,円
黒字,勤労者世帯,年収五分位2,2022000406,118851,円
黒字,勤労者世帯,年収五分位2,2022000709,103768,円
黒字,勤労者世帯,年収五分位2,2022001012,163939,円
黒字,勤労者世帯,年収五分位2,2023000103,54702,円
黒字,勤労者世帯,年収五分位2,2023000406,119908,円
黒字,勤労者世帯,年収五分位2,2023000709,83679,円
黒字,勤労者世帯,年収五分位2,2023001012,162898,円
黒字,勤労者世帯,年収五分位2,2024000103,61566,円
黒字,勤労者世帯,年収五分位2,2024000406,152435,円
黒字,勤労者世帯,年収五分位2,2024000709,104686,円
黒字,勤労者世帯,年収五分位2,2024001012,170258,円
黒字,勤労者世帯,年収五分位2,2025000103,70645,円
黒字,勤労者世帯,年収五分位2,2025000406,118312,円
黒字,勤労者世帯,年収五分位2,2025000709,91281,円
黒字,勤労者世帯,年収五分位2,2025001012,177126,円
黒字,勤労者世帯,年収五分位2,2026000103,72385,円
黒字,勤労者世帯,年収五分位3,2000000103,58000,円
黒字,勤労者世帯,年収五分位3,2000000406,105522,円
黒字,勤労者世帯,年収五分位3,2000000709,99027,円
黒字,勤労者世帯,年収五分位3,2000001012,175217,円
黒字,勤労者世帯,年収五分位3,2001000103,50984,円
黒字,勤労者世帯,年収五分位3,2001000406,112249,円
黒字,勤労者世帯,年収五分位3,2001000709,97713,円
黒字,勤労者世帯,年収五分位3,2001001012,175053,円
黒字,勤労者世帯,年収五分位3,2002000103,54230,円
黒字,勤労者世帯,年収五分位3,2002000406,111188,円
黒字,勤労者世帯,年収五分位3,2002000709,80435,円
黒字,勤労者世帯,年収五分位3,2002001012,163547,円
黒字,勤労者世帯,年収五分位3,2003000103,52615,円
黒字,勤労者世帯,年収五分位3,2003000406,112699,円
黒字,勤労者世帯,年収五分位3,2003000709,85187,円
黒字,勤労者世帯,年収五分位3,2003001012,167104,円
黒字,勤労者世帯,年収五分位3,2004000103,60802,円
黒字,勤労者世帯,年収五分位3,2004000406,94349,円
黒字,勤労者世帯,年収五分位3,2004000709,81394,円
黒字,勤労者世帯,年収五分位3,2004001012,168018,円
黒字,勤労者世帯,年収五分位3,2005000103,40569,円
黒字,勤労者世帯,年収五分位3,2005000406,97623,円
黒字,勤労者世帯,年収五分位3,2005000709,68884,円
黒字,勤労者世帯,年収五分位3,2005001012,124436,円
黒字,勤労者世帯,年収五分位3,2006000103,53062,円
黒字,勤労者世帯,年収五分位3,2006000406,89229,円
黒字,勤労者世帯,年収五分位3,2006000709,100312,円
黒字,勤労者世帯,年収五分位3,2006001012,167393,円
黒字,勤労者世帯,年収五分位3,2007000103,72936,円
黒字,勤労者世帯,年収五分位3,2007000406,109175,円
黒字,勤労者世帯,年収五分位3,2007000709,97921,円
黒字,勤労者世帯,年収五分位3,2007001012,143199,円
黒字,勤労者世帯,年収五分位3,2008000103,58330,円
黒字,勤労者世帯,年収五分位3,2008000406,104237,円
黒字,勤労者世帯,年収五分位3,2008000709,92057,円
黒字,勤労者世帯,年収五分位3,2008001012,157834,円
黒字,勤労者世帯,年収五分位3,2009000103,43618,円
黒字,勤労者世帯,年収五分位3,2009000406,87602,円
黒字,勤労者世帯,年収五分位3,2009000709,68307,円
黒字,勤労者世帯,年収五分位3,2009001012,144184,円
黒字,勤労者世帯,年収五分位3,2010000103,44201,円
黒字,勤労者世帯,年収五分位3,2010000406,98233,円
黒字,勤労者世帯,年収五分位3,2010000709,72821,円
黒字,勤労者世帯,年収五分位3,2010001012,145281,円
黒字,勤労者世帯,年収五分位3,2011000103,52293,円
黒字,勤労者世帯,年収五分位3,2011000406,103856,円
黒字,勤労者世帯,年収五分位3,2011000709,77607,円
黒字,勤労者世帯,年収五分位3,2011001012,134993,円
黒字,勤労者世帯,年収五分位3,2012000103,68436,円
黒字,勤労者世帯,年収五分位3,2012000406,111178,円
黒字,勤労者世帯,年収五分位3,2012000709,73685,円
黒字,勤労者世帯,年収五分位3,2012001012,146499,円
黒字,勤労者世帯,年収五分位3,2013000103,41090,円
黒字,勤労者世帯,年収五分位3,2013000406,99169,円
黒字,勤労者世帯,年収五分位3,2013000709,73813,円
黒字,勤労者世帯,年収五分位3,2013001012,144148,円
黒字,勤労者世帯,年収五分位3,2014000103,49066,円
黒字,勤労者世帯,年収五分位3,2014000406,119676,円
黒字,勤労者世帯,年収五分位3,2014000709,75693,円
黒字,勤労者世帯,年収五分位3,2014001012,144803,円
黒字,勤労者世帯,年収五分位3,2015000103,59532,円
黒字,勤労者世帯,年収五分位3,2015000406,88243,円
黒字,勤労者世帯,年収五分位3,2015000709,76813,円
黒字,勤労者世帯,年収五分位3,2015001012,160159,円
黒字,勤労者世帯,年収五分位3,2016000103,53729,円
黒字,勤労者世帯,年収五分位3,2016000406,90565,円
黒字,勤労者世帯,年収五分位3,2016000709,70958,円
黒字,勤労者世帯,年収五分位3,2016001012,139160,円
黒字,勤労者世帯,年収五分位3,2017000103,62869,円
黒字,勤労者世帯,年収五分位3,2017000406,107750,円
黒字,勤労者世帯,年収五分位3,2017000709,83295,円
黒字,勤労者世帯,年収五分位3,2017001012,171101,円
黒字,勤労者世帯,年収五分位3,2018000103,73845,円
黒字,勤労者世帯,年収五分位3,2018000406,116326,円
黒字,勤労者世帯,年収五分位3,2018000709,101596,円
黒字,勤労者世帯,年収五分位3,2018001012,190768,円
黒字,勤労者世帯,年収五分位3,2019000103,77466,円
黒字,勤労者世帯,年収五分位3,2019000406,122781,円
黒字,勤労者世帯,年収五分位3,2019000709,95065,円
黒字,勤労者世帯,年収五分位3,2019001012,192173,円
黒字,勤労者世帯,年収五分位3,2020000103,84876,円
黒字,勤労者世帯,年収五分位3,2020000406,206262,円
黒字,勤労者世帯,年収五分位3,2020000709,115337,円
黒字,勤労者世帯,年収五分位3,2020001012,180157,円
黒字,勤労者世帯,年収五分位3,2021000103,97746,円
黒字,勤労者世帯,年収五分位3,2021000406,162961,円
黒字,勤労者世帯,年収五分位3,2021000709,128794,円
黒字,勤労者世帯,年収五分位3,2021001012,209412,円
黒字,勤労者世帯,年収五分位3,2022000103,103850,円
黒字,勤労者世帯,年収五分位3,2022000406,171270,円
黒字,勤労者世帯,年収五分位3,2022000709,116229,円
黒字,勤労者世帯,年収五分位3,2022001012,207998,円
黒字,勤労者世帯,年収五分位3,2023000103,92941,円
黒字,勤労者世帯,年収五分位3,2023000406,144817,円
黒字,勤労者世帯,年収五分位3,2023000709,108537,円
黒字,勤労者世帯,年収五分位3,2023001012,186508,円
黒字,勤労者世帯,年収五分位3,2024000103,79310,円
黒字,勤労者世帯,年収五分位3,2024000406,163829,円
黒字,勤労者世帯,年収五分位3,2024000709,126804,円
黒字,勤労者世帯,年収五分位3,2024001012,206196,円
黒字,勤労者世帯,年収五分位3,2025000103,66374,円
黒字,勤労者世帯,年収五分位3,2025000406,166647,円
黒字,勤労者世帯,年収五分位3,2025000709,113220,円
黒字,勤労者世帯,年収五分位3,2025001012,244760,円
黒字,勤労者世帯,年収五分位3,2026000103,104838,円
黒字,勤労者世帯,年収五分位4,2000000103,82748,円
黒字,勤労者世帯,年収五分位4,2000000406,157250,円
黒字,勤労者世帯,年収五分位4,2000000709,134404,円
黒字,勤労者世帯,年収五分位4,2000001012,258808,円
黒字,勤労者世帯,年収五分位4,2001000103,62458,円
黒字,勤労者世帯,年収五分位4,2001000406,178405,円
黒字,勤労者世帯,年収五分位4,2001000709,117409,円
黒字,勤労者世帯,年収五分位4,2001001012,242381,円
黒字,勤労者世帯,年収五分位4,2002000103,87514,円
黒字,勤労者世帯,年収五分位4,2002000406,162903,円
黒字,勤労者世帯,年収五分位4,2002000709,112296,円
黒字,勤労者世帯,年収五分位4,2002001012,224870,円
黒字,勤労者世帯,年収五分位4,2003000103,66259,円
黒字,勤労者世帯,年収五分位4,2003000406,135565,円
黒字,勤労者世帯,年収五分位4,2003000709,110111,円
黒字,勤労者世帯,年収五分位4,2003001012,215097,円
黒字,勤労者世帯,年収五分位4,2004000103,67714,円
黒字,勤労者世帯,年収五分位4,2004000406,149450,円
黒字,勤労者世帯,年収五分位4,2004000709,116211,円
黒字,勤労者世帯,年収五分位4,2004001012,205555,円
黒字,勤労者世帯,年収五分位4,2005000103,50564,円
黒字,勤労者世帯,年収五分位4,2005000406,136507,円
黒字,勤労者世帯,年収五分位4,2005000709,98442,円
黒字,勤労者世帯,年収五分位4,2005001012,212413,円
黒字,勤労者世帯,年収五分位4,2006000103,60319,円
黒字,勤労者世帯,年収五分位4,2006000406,131392,円
黒字,勤労者世帯,年収五分位4,2006000709,130422,円
黒字,勤労者世帯,年収五分位4,2006001012,235780,円
黒字,勤労者世帯,年収五分位4,2007000103,63057,円
黒字,勤労者世帯,年収五分位4,2007000406,150083,円
黒字,勤労者世帯,年収五分位4,2007000709,116374,円
黒字,勤労者世帯,年収五分位4,2007001012,230643,円
黒字,勤労者世帯,年収五分位4,2008000103,64922,円
黒字,勤労者世帯,年収五分位4,2008000406,136521,円
黒字,勤労者世帯,年収五分位4,2008000709,102029,円
黒字,勤労者世帯,年収五分位4,2008001012,229290,円
黒字,勤労者世帯,年収五分位4,2009000103,55921,円
黒字,勤労者世帯,年収五分位4,2009000406,113521,円
黒字,勤労者世帯,年収五分位4,2009000709,100331,円
黒字,勤労者世帯,年収五分位4,2009001012,213079,円
黒字,勤労者世帯,年収五分位4,2010000103,62705,円
黒字,勤労者世帯,年収五分位4,2010000406,151047,円
黒字,勤労者世帯,年収五分位4,2010000709,93180,円
黒字,勤労者世帯,年収五分位4,2010001012,204616,円
黒字,勤労者世帯,年収五分位4,2011000103,69687,円
黒字,勤労者世帯,年収五分位4,2011000406,126658,円
黒字,勤労者世帯,年収五分位4,2011000709,99405,円
黒字,勤労者世帯,年収五分位4,2011001012,211348,円
黒字,勤労者世帯,年収五分位4,2012000103,67603,円
黒字,勤労者世帯,年収五分位4,2012000406,126378,円
黒字,勤労者世帯,年収五分位4,2012000709,102642,円
黒字,勤労者世帯,年収五分位4,2012001012,207052,円
黒字,勤労者世帯,年収五分位4,2013000103,55657,円
黒字,勤労者世帯,年収五分位4,2013000406,137418,円
黒字,勤労者世帯,年収五分位4,2013000709,98951,円
黒字,勤労者世帯,年収五分位4,2013001012,212577,円
黒字,勤労者世帯,年収五分位4,2014000103,51195,円
黒字,勤労者世帯,年収五分位4,2014000406,138388,円
黒字,勤労者世帯,年収五分位4,2014000709,92677,円
黒字,勤労者世帯,年収五分位4,2014001012,209939,円
黒字,勤労者世帯,年収五分位4,2015000103,66659,円
黒字,勤労者世帯,年収五分位4,2015000406,128141,円
黒字,勤労者世帯,年収五分位4,2015000709,106671,円
黒字,勤労者世帯,年収五分位4,2015001012,197653,円
黒字,勤労者世帯,年収五分位4,2016000103,68490,円
黒字,勤労者世帯,年収五分位4,2016000406,129577,円
黒字,勤労者世帯,年収五分位4,2016000709,106711,円
黒字,勤労者世帯,年収五分位4,2016001012,217899,円
黒字,勤労者世帯,年収五分位4,2017000103,67172,円
黒字,勤労者世帯,年収五分位4,2017000406,141388,円
黒字,勤労者世帯,年収五分位4,2017000709,124650,円
黒字,勤労者世帯,年収五分位4,2017001012,211239,円
黒字,勤労者世帯,年収五分位4,2018000103,78546,円
黒字,勤労者世帯,年収五分位4,2018000406,160617,円
黒字,勤労者世帯,年収五分位4,2018000709,105288,円
黒字,勤労者世帯,年収五分位4,2018001012,230805,円
黒字,勤労者世帯,年収五分位4,2019000103,73890,円
黒字,勤労者世帯,年収五分位4,2019000406,186718,円
黒字,勤労者世帯,年収五分位4,2019000709,110428,円
黒字,勤労者世帯,年収五分位4,2019001012,265385,円
黒字,勤労者世帯,年収五分位4,2020000103,107637,円
黒字,勤労者世帯,年収五分位4,2020000406,282758,円
黒字,勤労者世帯,年収五分位4,2020000709,183992,円
黒字,勤労者世帯,年収五分位4,2020001012,267195,円
黒字,勤労者世帯,年収五分位4,2021000103,96308,円
黒字,勤労者世帯,年収五分位4,2021000406,208242,円
黒字,勤労者世帯,年収五分位4,2021000709,181186,円
黒字,勤労者世帯,年収五分位4,2021001012,285332,円
黒字,勤労者世帯,年収五分位4,2022000103,118511,円
黒字,勤労者世帯,年収五分位4,2022000406,212685,円
黒字,勤労者世帯,年収五分位4,2022000709,163256,円
黒字,勤労者世帯,年収五分位4,2022001012,300576,円
黒字,勤労者世帯,年収五分位4,2023000103,103210,円
黒字,勤労者世帯,年収五分位4,2023000406,198631,円
黒字,勤労者世帯,年収五分位4,2023000709,139294,円
黒字,勤労者世帯,年収五分位4,2023001012,251588,円
黒字,勤労者世帯,年収五分位4,2024000103,112546,円
黒字,勤労者世帯,年収五分位4,2024000406,241235,円
黒字,勤労者世帯,年収五分位4,2024000709,170295,円
黒字,勤労者世帯,年収五分位4,2024001012,289699,円
黒字,勤労者世帯,年収五分位4,2025000103,105181,円
黒字,勤労者世帯,年収五分位4,2025000406,222054,円
黒字,勤労者世帯,年収五分位4,2025000709,149731,円
黒字,勤労者世帯,年収五分位4,2025001012,271146,円
黒字,勤労者世帯,年収五分位4,2026000103,112638,円
黒字,勤労者世帯,年収五分位5,2000000103,112372,円
黒字,勤労者世帯,年収五分位5,2000000406,271226,円
黒字,勤労者世帯,年収五分位5,2000000709,171126,円
黒字,勤労者世帯,年収五分位5,2000001012,373717,円
黒字,勤労者世帯,年収五分位5,2001000103,100324,円
黒字,勤労者世帯,年収五分位5,2001000406,258531,円
黒字,勤労者世帯,年収五分位5,2001000709,169374,円
黒字,勤労者世帯,年収五分位5,2001001012,380717,円
黒字,勤労者世帯,年収五分位5,2002000103,130393,円
黒字,勤労者世帯,年収五分位5,2002000406,245017,円
黒字,勤労者世帯,年収五分位5,2002000709,130785,円
黒字,勤労者世帯,年収五分位5,2002001012,340471,円
黒字,勤労者世帯,年収五分位5,2003000103,99547,円
黒字,勤労者世帯,年収五分位5,2003000406,231299,円
黒字,勤労者世帯,年収五分位5,2003000709,155409,円
黒字,勤労者世帯,年収五分位5,2003001012,334162,円
黒字,勤労者世帯,年収五分位5,2004000103,117424,円
黒字,勤労者世帯,年収五分位5,2004000406,233324,円
黒字,勤労者世帯,年収五分位5,2004000709,154711,円
黒字,勤労者世帯,年収五分位5,2004001012,337697,円
黒字,勤労者世帯,年収五分位5,2005000103,111691,円
黒字,勤労者世帯,年収五分位5,2005000406,258042,円
黒字,勤労者世帯,年収五分位5,2005000709,155918,円
黒字,勤労者世帯,年収五分位5,2005001012,321136,円
黒字,勤労者世帯,年収五分位5,2006000103,100442,円
黒字,勤労者世帯,年収五分位5,2006000406,225253,円
黒字,勤労者世帯,年収五分位5,2006000709,187240,円
黒字,勤労者世帯,年収五分位5,2006001012,376048,円
黒字,勤労者世帯,年収五分位5,2007000103,115179,円
黒字,勤労者世帯,年収五分位5,2007000406,244701,円
黒字,勤労者世帯,年収五分位5,2007000709,148147,円
黒字,勤労者世帯,年収五分位5,2007001012,345800,円
黒字,勤労者世帯,年収五分位5,2008000103,112912,円
黒字,勤労者世帯,年収五分位5,2008000406,227371,円
黒字,勤労者世帯,年収五分位5,2008000709,184256,円
黒字,勤労者世帯,年収五分位5,2008001012,379590,円
黒字,勤労者世帯,年収五分位5,2009000103,117048,円
黒字,勤労者世帯,年収五分位5,2009000406,214167,円
黒字,勤労者世帯,年収五分位5,2009000709,160544,円
黒字,勤労者世帯,年収五分位5,2009001012,319899,円
黒字,勤労者世帯,年収五分位5,2010000103,108732,円
黒字,勤労者世帯,年収五分位5,2010000406,238826,円
黒字,勤労者世帯,年収五分位5,2010000709,144762,円
黒字,勤労者世帯,年収五分位5,2010001012,340509,円
黒字,勤労者世帯,年収五分位5,2011000103,112058,円
黒字,勤労者世帯,年収五分位5,2011000406,202732,円
黒字,勤労者世帯,年収五分位5,2011000709,166493,円
黒字,勤労者世帯,年収五分位5,2011001012,335040,円
