貯蓄現在高階級,年,世帯数分布
500～600万円,2021,460
600～700万円,2021,402
700～800万円,2021,354
800～900万円,2021,370
900～1000万円,2021,306
1000～1200万円,2022,605
100万円未満,2022,966
100～200万円,2022,541
1200～1400万円,2022,466
1400～1600万円,2022,378
1600～1800万円,2022,387
1800～2000万円,2022,306
2000～2500万円,2022,704
200～300万円,2022,456
2500～3000万円,2022,528
3000～4000万円,2022,744
300～400万円,2022,456
4000万円以上,2022,1247
400～500万円,2022,420
500～600万円,2022,452
600～700万円,2022,360
700～800万円,2022,350
800～900万円,2022,361
900～1000万円,2022,272
1000～1200万円,2023,596
100万円未満,2023,1004
100～200万円,2023,547
1200～1400万円,2023,427
1400～1600万円,2023,411
1600～1800万円,2023,354
1800～2000万円,2023,295
2000～2500万円,2023,634
200～300万円,2023,488
2500～3000万円,2023,516
3000～4000万円,2023,671
300～400万円,2023,536
4000万円以上,2023,1293
400～500万円,2023,427
500～600万円,2023,490
600～700万円,2023,357
700～800万円,2023,341
800～900万円,2023,314
900～1000万円,2023,299
1000～1200万円,2024,580
100万円未満,2024,1021
100～200万円,2024,491
1200～1400万円,2024,446
1400～1600万円,2024,453
1600～1800万円,2024,304
1800～2000万円,2024,301
2000～2500万円,2024,665
200～300万円,2024,494
2500～3000万円,2024,511
3000～4000万円,2024,718
300～400万円,2024,491
4000万円以上,2024,1386
400～500万円,2024,405
500～600万円,2024,425
600～700万円,2024,391
700～800万円,2024,309
800～900万円,2024,331
900～1000万円,2024,278
1000～1200万円,2025,577
100万円未満,2025,1010
100～200万円,2025,543
1200～1400万円,2025,431
1400～1600万円,2025,425
1600～1800万円,2025,305
1800～2000万円,2025,313
2000～2500万円,2025,698
200～300万円,2025,484
2500～3000万円,2025,515
3000～4000万円,2025,746
300～400万円,2025,382
4000万円以上,2025,1517
400～500万円,2025,408
500～600万円,2025,418
600～700万円,2025,339
700～800万円,2025,325
800～900万円,2025,309
900～1000万円,2025,255
