項目,年間収入階級,時期,値,単位
貯蓄,400～450万円,2012000406,1516,万円
貯蓄,400～450万円,2012000709,1623,万円
貯蓄,400～450万円,2012001012,1684,万円
貯蓄,400～450万円,2013000103,1743,万円
貯蓄,400～450万円,2013000406,1621,万円
貯蓄,400～450万円,2013000709,1639,万円
貯蓄,400～450万円,2013001012,1623,万円
貯蓄,400～450万円,2014000103,1609,万円
貯蓄,400～450万円,2014000406,1645,万円
貯蓄,400～450万円,2014000709,1623,万円
貯蓄,400～450万円,2014001012,1657,万円
貯蓄,400～450万円,2015000103,1669,万円
貯蓄,400～450万円,2015000406,1700,万円
貯蓄,400～450万円,2015000709,1589,万円
貯蓄,400～450万円,2015001012,1735,万円
貯蓄,400～450万円,2016000103,1938,万円
貯蓄,400～450万円,2016000406,1971,万円
貯蓄,400～450万円,2016000709,1825,万円
貯蓄,400～450万円,2016001012,1630,万円
貯蓄,400～450万円,2017000103,1717,万円
貯蓄,400～450万円,2017000406,1618,万円
貯蓄,400～450万円,2017000709,1642,万円
貯蓄,400～450万円,2017001012,1696,万円
貯蓄,400～450万円,2018000103,1670,万円
貯蓄,400～450万円,2018000406,1611,万円
貯蓄,400～450万円,2018000709,1620,万円
貯蓄,400～450万円,2018001012,1644,万円
貯蓄,400～450万円,2019000103,1693,万円
貯蓄,400～450万円,2019000406,1690,万円
貯蓄,400～450万円,2019000709,1625,万円
貯蓄,400～450万円,2019001012,1633,万円
貯蓄,400～450万円,2020000103,1660,万円
貯蓄,400～450万円,2020000406,1791,万円
貯蓄,400～450万円,2020000709,1858,万円
貯蓄,400～450万円,2020001012,1678,万円
貯蓄,400～450万円,2021000103,1764,万円
貯蓄,400～450万円,2021000406,1955,万円
貯蓄,400～450万円,2021000709,1881,万円
貯蓄,400～450万円,2021001012,1856,万円
貯蓄,400～450万円,2022000103,2022,万円
貯蓄,400～450万円,2022000406,2164,万円
貯蓄,400～450万円,2022000709,2032,万円
貯蓄,400～450万円,2022001012,2208,万円
貯蓄,400～450万円,2023000103,2008,万円
貯蓄,400～450万円,2023000406,2002,万円
貯蓄,400～450万円,2023000709,2327,万円
貯蓄,400～450万円,2023001012,2144,万円
貯蓄,400～450万円,2024000103,1938,万円
貯蓄,400～450万円,2024000406,1987,万円
貯蓄,400～450万円,2024000709,1830,万円
貯蓄,400～450万円,2024001012,2009,万円
貯蓄,400～450万円,2025000103,2188,万円
貯蓄,400～450万円,2025000406,1931,万円
貯蓄,400～450万円,2025000709,1655,万円
貯蓄,400～450万円,2025001012,1813,万円
貯蓄,450～500万円,2002000103,1406,万円
貯蓄,450～500万円,2002000406,1506,万円
貯蓄,450～500万円,2002000709,1517,万円
貯蓄,450～500万円,2002001012,1598,万円
貯蓄,450～500万円,2003000103,1782,万円
貯蓄,450～500万円,2003000406,1625,万円
貯蓄,450～500万円,2003000709,1532,万円
貯蓄,450～500万円,2003001012,1470,万円
貯蓄,450～500万円,2004000103,1440,万円
貯蓄,450～500万円,2004000406,1419,万円
貯蓄,450～500万円,2004000709,1577,万円
貯蓄,450～500万円,2004001012,1544,万円
貯蓄,450～500万円,2005000103,1489,万円
貯蓄,450～500万円,2005000406,1576,万円
貯蓄,450～500万円,2005000709,1597,万円
貯蓄,450～500万円,2005001012,1465,万円
貯蓄,450～500万円,2006000103,1509,万円
貯蓄,450～500万円,2006000406,1490,万円
貯蓄,450～500万円,2006000709,1445,万円
貯蓄,450～500万円,2006001012,1544,万円
貯蓄,450～500万円,2007000103,1687,万円
貯蓄,450～500万円,2007000406,1684,万円
貯蓄,450～500万円,2007000709,1573,万円
貯蓄,450～500万円,2007001012,1468,万円
貯蓄,450～500万円,2008000103,1351,万円
貯蓄,450～500万円,2008000406,1426,万円
貯蓄,450～500万円,2008000709,1424,万円
貯蓄,450～500万円,2008001012,1591,万円
貯蓄,450～500万円,2009000103,1583,万円
貯蓄,450～500万円,2009000406,1364,万円
貯蓄,450～500万円,2009000709,1367,万円
貯蓄,450～500万円,2009001012,1420,万円
貯蓄,450～500万円,2010000103,1538,万円
貯蓄,450～500万円,2010000406,1458,万円
貯蓄,450～500万円,2010000709,1327,万円
貯蓄,450～500万円,2010001012,1458,万円
貯蓄,450～500万円,2011000103,1399,万円
貯蓄,450～500万円,2011000406,1350,万円
貯蓄,450～500万円,2011000709,1561,万円
貯蓄,450～500万円,2011001012,1566,万円
貯蓄,450～500万円,2012000103,1403,万円
貯蓄,450～500万円,2012000406,1407,万円
貯蓄,450～500万円,2012000709,1352,万円
貯蓄,450～500万円,2012001012,1520,万円
貯蓄,450～500万円,2013000103,1809,万円
貯蓄,450～500万円,2013000406,1692,万円
貯蓄,450～500万円,2013000709,1470,万円
貯蓄,450～500万円,2013001012,1492,万円
貯蓄,450～500万円,2014000103,1515,万円
貯蓄,450～500万円,2014000406,1586,万円
貯蓄,450～500万円,2014000709,1542,万円
貯蓄,450～500万円,2014001012,1642,万円
貯蓄,450～500万円,2015000103,1873,万円
貯蓄,450～500万円,2015000406,1746,万円
貯蓄,450～500万円,2015000709,1557,万円
貯蓄,450～500万円,2015001012,1539,万円
貯蓄,450～500万円,2016000103,1466,万円
貯蓄,450～500万円,2016000406,1435,万円
貯蓄,450～500万円,2016000709,1551,万円
貯蓄,450～500万円,2016001012,1698,万円
貯蓄,450～500万円,2017000103,1971,万円
貯蓄,450～500万円,2017000406,1901,万円
貯蓄,450～500万円,2017000709,1771,万円
貯蓄,450～500万円,2017001012,1841,万円
貯蓄,450～500万円,2018000103,1798,万円
貯蓄,450～500万円,2018000406,1671,万円
貯蓄,450～500万円,2018000709,1516,万円
貯蓄,450～500万円,2018001012,1852,万円
貯蓄,450～500万円,2019000103,1733,万円
貯蓄,450～500万円,2019000406,1529,万円
貯蓄,450～500万円,2019000709,1507,万円
貯蓄,450～500万円,2019001012,1595,万円
貯蓄,450～500万円,2020000103,1579,万円
貯蓄,450～500万円,2020000406,1551,万円
貯蓄,450～500万円,2020000709,1584,万円
貯蓄,450～500万円,2020001012,1712,万円
貯蓄,450～500万円,2021000103,1802,万円
貯蓄,450～500万円,2021000406,1626,万円
貯蓄,450～500万円,2021000709,1680,万円
貯蓄,450～500万円,2021001012,1686,万円
貯蓄,450～500万円,2022000103,1585,万円
貯蓄,450～500万円,2022000406,1754,万円
貯蓄,450～500万円,2022000709,1972,万円
貯蓄,450～500万円,2022001012,1841,万円
貯蓄,450～500万円,2023000103,1700,万円
貯蓄,450～500万円,2023000406,1804,万円
貯蓄,450～500万円,2023000709,1764,万円
貯蓄,450～500万円,2023001012,1588,万円
貯蓄,450～500万円,2024000103,1660,万円
貯蓄,450～500万円,2024000406,1921,万円
貯蓄,450～500万円,2024000709,2223,万円
貯蓄,450～500万円,2024001012,2297,万円
貯蓄,450～500万円,2025000103,1995,万円
貯蓄,450～500万円,2025000406,1684,万円
貯蓄,450～500万円,2025000709,1630,万円
貯蓄,450～500万円,2025001012,1838,万円
貯蓄,500～550万円,2002000103,1823,万円
貯蓄,500～550万円,2002000406,1556,万円
貯蓄,500～550万円,2002000709,1459,万円
貯蓄,500～550万円,2002001012,1404,万円
貯蓄,500～550万円,2003000103,1421,万円
貯蓄,500～550万円,2003000406,1505,万円
貯蓄,500～550万円,2003000709,1478,万円
貯蓄,500～550万円,2003001012,1427,万円
貯蓄,500～550万円,2004000103,1301,万円
貯蓄,500～550万円,2004000406,1542,万円
貯蓄,500～550万円,2004000709,1767,万円
貯蓄,500～550万円,2004001012,1627,万円
貯蓄,500～550万円,2005000103,1615,万円
貯蓄,500～550万円,2005000406,1520,万円
貯蓄,500～550万円,2005000709,1469,万円
貯蓄,500～550万円,2005001012,1475,万円
貯蓄,500～550万円,2006000103,1461,万円
貯蓄,500～550万円,2006000406,1519,万円
貯蓄,500～550万円,2006000709,1563,万円
貯蓄,500～550万円,2006001012,1639,万円
貯蓄,500～550万円,2007000103,1744,万円
貯蓄,500～550万円,2007000406,1687,万円
貯蓄,500～550万円,2007000709,1730,万円
貯蓄,500～550万円,2007001012,1581,万円
貯蓄,500～550万円,2008000103,1711,万円
貯蓄,500～550万円,2008000406,1573,万円
貯蓄,500～550万円,2008000709,1547,万円
貯蓄,500～550万円,2008001012,1543,万円
貯蓄,500～550万円,2009000103,1470,万円
貯蓄,500～550万円,2009000406,1575,万円
貯蓄,500～550万円,2009000709,1538,万円
貯蓄,500～550万円,2009001012,1600,万円
貯蓄,500～550万円,2010000103,1775,万円
貯蓄,500～550万円,2010000406,1828,万円
貯蓄,500～550万円,2010000709,1410,万円
貯蓄,500～550万円,2010001012,1312,万円
貯蓄,500～550万円,2011000103,1585,万円
貯蓄,500～550万円,2011000406,1441,万円
貯蓄,500～550万円,2011000709,1495,万円
貯蓄,500～550万円,2011001012,1560,万円
貯蓄,500～550万円,2012000103,1614,万円
貯蓄,500～550万円,2012000406,1629,万円
貯蓄,500～550万円,2012000709,1500,万円
貯蓄,500～550万円,2012001012,1402,万円
貯蓄,500～550万円,2013000103,1511,万円
貯蓄,500～550万円,2013000406,1727,万円
貯蓄,500～550万円,2013000709,1685,万円
貯蓄,500～550万円,2013001012,1556,万円
貯蓄,500～550万円,2014000103,1545,万円
貯蓄,500～550万円,2014000406,1713,万円
貯蓄,500～550万円,2014000709,1730,万円
貯蓄,500～550万円,2014001012,1639,万円
貯蓄,500～550万円,2015000103,1462,万円
貯蓄,500～550万円,2015000406,1384,万円
貯蓄,500～550万円,2015000709,1333,万円
貯蓄,500～550万円,2015001012,1431,万円
貯蓄,500～550万円,2016000103,1619,万円
貯蓄,500～550万円,2016000406,1769,万円
貯蓄,500～550万円,2016000709,1740,万円
貯蓄,500～550万円,2016001012,1732,万円
貯蓄,500～550万円,2017000103,1785,万円
貯蓄,500～550万円,2017000406,1663,万円
貯蓄,500～550万円,2017000709,1682,万円
貯蓄,500～550万円,2017001012,1586,万円
貯蓄,500～550万円,2018000103,1423,万円
貯蓄,500～550万円,2018000406,1499,万円
貯蓄,500～550万円,2018000709,1602,万円
貯蓄,500～550万円,2018001012,1658,万円
貯蓄,500～550万円,2019000103,1442,万円
貯蓄,500～550万円,2019000406,1363,万円
貯蓄,500～550万円,2019000709,1629,万円
貯蓄,500～550万円,2019001012,1548,万円
貯蓄,500～550万円,2020000103,1429,万円
貯蓄,500～550万円,2020000406,1449,万円
貯蓄,500～550万円,2020000709,1454,万円
貯蓄,500～550万円,2020001012,1600,万円
貯蓄,500～550万円,2021000103,1740,万円
貯蓄,500～550万円,2021000406,1701,万円
貯蓄,500～550万円,2021000709,1777,万円
貯蓄,500～550万円,2021001012,1862,万円
貯蓄,500～550万円,2022000103,1678,万円
貯蓄,500～550万円,2022000406,1358,万円
貯蓄,500～550万円,2022000709,1509,万円
貯蓄,500～550万円,2022001012,1525,万円
貯蓄,500～550万円,2023000103,1542,万円
貯蓄,500～550万円,2023000406,1778,万円
貯蓄,500～550万円,2023000709,1973,万円
貯蓄,500～550万円,2023001012,1905,万円
貯蓄,500～550万円,2024000103,1732,万円
貯蓄,500～550万円,2024000406,1657,万円
貯蓄,500～550万円,2024000709,1874,万円
貯蓄,500～550万円,2024001012,1909,万円
貯蓄,500～550万円,2025000103,1943,万円
貯蓄,500～550万円,2025000406,1907,万円
貯蓄,500～550万円,2025000709,1981,万円
貯蓄,500～550万円,2025001012,2071,万円
貯蓄,550～600万円,2002000103,1843,万円
貯蓄,550～600万円,2002000406,1622,万円
貯蓄,550～600万円,2002000709,1504,万円
貯蓄,550～600万円,2002001012,1385,万円
貯蓄,550～600万円,2003000103,1568,万円
貯蓄,550～600万円,2003000406,1599,万円
貯蓄,550～600万円,2003000709,1555,万円
貯蓄,550～600万円,2003001012,1445,万円
貯蓄,550～600万円,2004000103,1402,万円
貯蓄,550～600万円,2004000406,1449,万円
貯蓄,550～600万円,2004000709,1460,万円
貯蓄,550～600万円,2004001012,1315,万円
貯蓄,550～600万円,2005000103,1390,万円
貯蓄,550～600万円,2005000406,1673,万円
貯蓄,550～600万円,2005000709,1737,万円
貯蓄,550～600万円,2005001012,1538,万円
貯蓄,550～600万円,2006000103,1594,万円
貯蓄,550～600万円,2006000406,1633,万円
貯蓄,550～600万円,2006000709,1424,万円
貯蓄,550～600万円,2006001012,1377,万円
貯蓄,550～600万円,2007000103,1463,万円
貯蓄,550～600万円,2007000406,1645,万円
貯蓄,550～600万円,2007000709,1605,万円
貯蓄,550～600万円,2007001012,1562,万円
貯蓄,550～600万円,2008000103,1616,万円
貯蓄,550～600万円,2008000406,1446,万円
貯蓄,550～600万円,2008000709,1278,万円
貯蓄,550～600万円,2008001012,1413,万円
貯蓄,550～600万円,2009000103,1469,万円
貯蓄,550～600万円,2009000406,1531,万円
貯蓄,550～600万円,2009000709,1641,万円
貯蓄,550～600万円,2009001012,1837,万円
貯蓄,550～600万円,2010000103,1841,万円
貯蓄,550～600万円,2010000406,1619,万円
貯蓄,550～600万円,2010000709,1562,万円
貯蓄,550～600万円,2010001012,1642,万円
貯蓄,550～600万円,2011000103,1483,万円
貯蓄,550～600万円,2011000406,1416,万円
貯蓄,550～600万円,2011000709,1456,万円
貯蓄,550～600万円,2011001012,1300,万円
貯蓄,550～600万円,2012000103,1386,万円
貯蓄,550～600万円,2012000406,1555,万円
貯蓄,550～600万円,2012000709,1594,万円
貯蓄,550～600万円,2012001012,1455,万円
貯蓄,550～600万円,2013000103,1624,万円
貯蓄,550～600万円,2013000406,1459,万円
貯蓄,550～600万円,2013000709,1407,万円
貯蓄,550～600万円,2013001012,1437,万円
貯蓄,550～600万円,2014000103,1613,万円
貯蓄,550～600万円,2014000406,1744,万円
貯蓄,550～600万円,2014000709,1580,万円
貯蓄,550～600万円,2014001012,1451,万円
貯蓄,550～600万円,2015000103,1697,万円
貯蓄,550～600万円,2015000406,1742,万円
貯蓄,550～600万円,2015000709,1625,万円
貯蓄,550～600万円,2015001012,1592,万円
貯蓄,550～600万円,2016000103,1555,万円
貯蓄,550～600万円,2016000406,1623,万円
貯蓄,550～600万円,2016000709,1512,万円
貯蓄,550～600万円,2016001012,1407,万円
貯蓄,550～600万円,2017000103,1519,万円
貯蓄,550～600万円,2017000406,1605,万円
貯蓄,550～600万円,2017000709,1921,万円
貯蓄,550～600万円,2017001012,1959,万円
貯蓄,550～600万円,2018000103,1569,万円
貯蓄,550～600万円,2018000406,1440,万円
貯蓄,550～600万円,2018000709,1320,万円
貯蓄,550～600万円,2018001012,1407,万円
貯蓄,550～600万円,2019000103,1454,万円
貯蓄,550～600万円,2019000406,1437,万円
貯蓄,550～600万円,2019000709,1327,万円
貯蓄,550～600万円,2019001012,1514,万円
貯蓄,550～600万円,2020000103,1831,万円
貯蓄,550～600万円,2020000406,1734,万円
貯蓄,550～600万円,2020000709,1487,万円
貯蓄,550～600万円,2020001012,1636,万円
貯蓄,550～600万円,2021000103,1704,万円
貯蓄,550～600万円,2021000406,1622,万円
貯蓄,550～600万円,2021000709,1547,万円
貯蓄,550～600万円,2021001012,1500,万円
貯蓄,550～600万円,2022000103,1325,万円
貯蓄,550～600万円,2022000406,1403,万円
貯蓄,550～600万円,2022000709,1484,万円
貯蓄,550～600万円,2022001012,1619,万円
貯蓄,550～600万円,2023000103,1568,万円
貯蓄,550～600万円,2023000406,1790,万円
貯蓄,550～600万円,2023000709,1756,万円
貯蓄,550～600万円,2023001012,1476,万円
貯蓄,550～600万円,2024000103,1436,万円
貯蓄,550～600万円,2024000406,1732,万円
貯蓄,550～600万円,2024000709,1997,万円
貯蓄,550～600万円,2024001012,2361,万円
貯蓄,550～600万円,2025000103,2311,万円
貯蓄,550～600万円,2025000406,1924,万円
貯蓄,550～600万円,2025000709,1789,万円
貯蓄,550～600万円,2025001012,1806,万円
貯蓄,600～650万円,2002000103,1495,万円
貯蓄,600～650万円,2002000406,1426,万円
貯蓄,600～650万円,2002000709,1379,万円
貯蓄,600～650万円,2002001012,1346,万円
貯蓄,600～650万円,2003000103,1472,万円
貯蓄,600～650万円,2003000406,1414,万円
貯蓄,600～650万円,2003000709,1585,万円
貯蓄,600～650万円,2003001012,1647,万円
貯蓄,600～650万円,2004000103,1590,万円
貯蓄,600～650万円,2004000406,1518,万円
貯蓄,600～650万円,2004000709,1442,万円
貯蓄,600～650万円,2004001012,1515,万円
貯蓄,600～650万円,2005000103,1496,万円
貯蓄,600～650万円,2005000406,1498,万円
貯蓄,600～650万円,2005000709,1522,万円
貯蓄,600～650万円,2005001012,1826,万円
貯蓄,600～650万円,2006000103,1931,万円
貯蓄,600～650万円,2006000406,1684,万円
貯蓄,600～650万円,2006000709,1482,万円
貯蓄,600～650万円,2006001012,1559,万円
貯蓄,600～650万円,2007000103,1499,万円
貯蓄,600～650万円,2007000406,1441,万円
貯蓄,600～650万円,2007000709,1395,万円
貯蓄,600～650万円,2007001012,1340,万円
貯蓄,600～650万円,2008000103,1601,万円
貯蓄,600～650万円,2008000406,1555,万円
貯蓄,600～650万円,2008000709,1671,万円
貯蓄,600～650万円,2008001012,1684,万円
貯蓄,600～650万円,2009000103,1441,万円
貯蓄,600～650万円,2009000406,1471,万円
貯蓄,600～650万円,2009000709,1492,万円
貯蓄,600～650万円,2009001012,1497,万円
貯蓄,600～650万円,2010000103,1647,万円
貯蓄,600～650万円,2010000406,1509,万円
貯蓄,600～650万円,2010000709,1352,万円
貯蓄,600～650万円,2010001012,1339,万円
貯蓄,600～650万円,2011000103,1401,万円
貯蓄,600～650万円,2011000406,1494,万円
貯蓄,600～650万円,2011000709,1446,万円
貯蓄,600～650万円,2011001012,1460,万円
貯蓄,600～650万円,2012000103,1274,万円
貯蓄,600～650万円,2012000406,1254,万円
貯蓄,600～650万円,2012000709,1387,万円
貯蓄,600～650万円,2012001012,1408,万円
貯蓄,600～650万円,2013000103,1482,万円
貯蓄,600～650万円,2013000406,1650,万円
貯蓄,600～650万円,2013000709,1580,万円
貯蓄,600～650万円,2013001012,1508,万円
貯蓄,600～650万円,2014000103,1646,万円
貯蓄,600～650万円,2014000406,1419,万円
貯蓄,600～650万円,2014000709,1405,万円
貯蓄,600～650万円,2014001012,1489,万円
貯蓄,600～650万円,2015000103,1391,万円
貯蓄,600～650万円,2015000406,1373,万円
貯蓄,600～650万円,2015000709,1508,万円
貯蓄,600～650万円,2015001012,1475,万円
貯蓄,600～650万円,2016000103,1495,万円
貯蓄,600～650万円,2016000406,1822,万円
貯蓄,600～650万円,2016000709,1888,万円
貯蓄,600～650万円,2016001012,1559,万円
貯蓄,600～650万円,2017000103,1513,万円
貯蓄,600～650万円,2017000406,1622,万円
貯蓄,600～650万円,2017000709,1499,万円
貯蓄,600～650万円,2017001012,1412,万円
貯蓄,600～650万円,2018000103,1515,万円
貯蓄,600～650万円,2018000406,1671,万円
貯蓄,600～650万円,2018000709,1570,万円
貯蓄,600～650万円,2018001012,1563,万円
貯蓄,600～650万円,2019000103,1578,万円
貯蓄,600～650万円,2019000406,1688,万円
貯蓄,600～650万円,2019000709,1885,万円
貯蓄,600～650万円,2019001012,1753,万円
貯蓄,600～650万円,2020000103,1599,万円
貯蓄,600～650万円,2020000406,1724,万円
貯蓄,600～650万円,2020000709,1885,万円
貯蓄,600～650万円,2020001012,1647,万円
貯蓄,600～650万円,2021000103,1529,万円
貯蓄,600～650万円,2021000406,1612,万円
貯蓄,600～650万円,2021000709,1493,万円
貯蓄,600～650万円,2021001012,1380,万円
貯蓄,600～650万円,2022000103,1643,万円
貯蓄,600～650万円,2022000406,1871,万円
貯蓄,600～650万円,2022000709,1749,万円
貯蓄,600～650万円,2022001012,1534,万円
貯蓄,600～650万円,2023000103,1523,万円
貯蓄,600～650万円,2023000406,1595,万円
貯蓄,600～650万円,2023000709,1542,万円
貯蓄,600～650万円,2023001012,1407,万円
貯蓄,600～650万円,2024000103,1795,万円
貯蓄,600～650万円,2024000406,1863,万円
貯蓄,600～650万円,2024000709,1707,万円
貯蓄,600～650万円,2024001012,1817,万円
貯蓄,600～650万円,2025000103,1999,万円
貯蓄,600～650万円,2025000406,1826,万円
貯蓄,600～650万円,2025000709,1831,万円
貯蓄,600～650万円,2025001012,2104,万円
貯蓄,650～700万円,2002000103,1517,万円
貯蓄,650～700万円,2002000406,1398,万円
貯蓄,650～700万円,2002000709,1427,万円
貯蓄,650～700万円,2002001012,1494,万円
貯蓄,650～700万円,2003000103,1360,万円
貯蓄,650～700万円,2003000406,1322,万円
貯蓄,650～700万円,2003000709,1506,万円
貯蓄,650～700万円,2003001012,1575,万円
貯蓄,650～700万円,2004000103,1566,万円
貯蓄,650～700万円,2004000406,1696,万円
貯蓄,650～700万円,2004000709,1757,万円
貯蓄,650～700万円,2004001012,1803,万円
貯蓄,650～700万円,2005000103,1802,万円
貯蓄,650～700万円,2005000406,1831,万円
貯蓄,650～700万円,2005000709,1797,万円
貯蓄,650～700万円,2005001012,1616,万円
貯蓄,650～700万円,2006000103,1642,万円
貯蓄,650～700万円,2006000406,1617,万円
貯蓄,650～700万円,2006000709,1520,万円
貯蓄,650～700万円,2006001012,1452,万円
貯蓄,650～700万円,2007000103,1505,万円
貯蓄,650～700万円,2007000406,1447,万円
貯蓄,650～700万円,2007000709,1417,万円
貯蓄,650～700万円,2007001012,1764,万円
貯蓄,650～700万円,2008000103,1998,万円
貯蓄,650～700万円,2008000406,1691,万円
貯蓄,650～700万円,2008000709,1365,万円
貯蓄,650～700万円,2008001012,1258,万円
貯蓄,650～700万円,2009000103,1237,万円
貯蓄,650～700万円,2009000406,1551,万円
貯蓄,650～700万円,2009000709,1786,万円
貯蓄,650～700万円,2009001012,1458,万円
貯蓄,650～700万円,2010000103,1293,万円
貯蓄,650～700万円,2010000406,1666,万円
貯蓄,650～700万円,2010000709,1931,万円
貯蓄,650～700万円,2010001012,1809,万円
貯蓄,650～700万円,2011000103,1610,万円
貯蓄,650～700万円,2011000406,1592,万円
貯蓄,650～700万円,2011000709,1566,万円
貯蓄,650～700万円,2011001012,1673,万円
貯蓄,650～700万円,2012000103,1676,万円
貯蓄,650～700万円,2012000406,1650,万円
貯蓄,650～700万円,2012000709,1469,万円
貯蓄,650～700万円,2012001012,1400,万円
貯蓄,650～700万円,2013000103,1658,万円
貯蓄,650～700万円,2013000406,1715,万円
貯蓄,650～700万円,2013000709,1590,万円
貯蓄,650～700万円,2013001012,1673,万円
貯蓄,650～700万円,2014000103,1584,万円
貯蓄,650～700万円,2014000406,1587,万円
貯蓄,650～700万円,2014000709,1534,万円
貯蓄,650～700万円,2014001012,1626,万円
貯蓄,650～700万円,2015000103,1711,万円
貯蓄,650～700万円,2015000406,1722,万円
貯蓄,650～700万円,2015000709,1709,万円
貯蓄,650～700万円,2015001012,1604,万円
貯蓄,650～700万円,2016000103,1752,万円
貯蓄,650～700万円,2016000406,1715,万円
貯蓄,650～700万円,2016000709,1521,万円
貯蓄,650～700万円,2016001012,1645,万円
貯蓄,650～700万円,2017000103,1572,万円
貯蓄,650～700万円,2017000406,1418,万円
貯蓄,650～700万円,2017000709,1532,万円
貯蓄,650～700万円,2017001012,1842,万円
貯蓄,650～700万円,2018000103,1700,万円
貯蓄,650～700万円,2018000406,1393,万円
貯蓄,650～700万円,2018000709,1426,万円
貯蓄,650～700万円,2018001012,1577,万円
貯蓄,650～700万円,2019000103,1908,万円
貯蓄,650～700万円,2019000406,1805,万円
貯蓄,650～700万円,2019000709,1774,万円
貯蓄,650～700万円,2019001012,1660,万円
貯蓄,650～700万円,2020000103,1716,万円
貯蓄,650～700万円,2020000406,1685,万円
貯蓄,650～700万円,2020000709,1587,万円
貯蓄,650～700万円,2020001012,1571,万円
貯蓄,650～700万円,2021000103,1640,万円
貯蓄,650～700万円,2021000406,1764,万円
貯蓄,650～700万円,2021000709,1546,万円
貯蓄,650～700万円,2021001012,1474,万円
貯蓄,650～700万円,2022000103,1554,万円
貯蓄,650～700万円,2022000406,1429,万円
貯蓄,650～700万円,2022000709,1345,万円
貯蓄,650～700万円,2022001012,1404,万円
貯蓄,650～700万円,2023000103,1599,万円
貯蓄,650～700万円,2023000406,1878,万円
貯蓄,650～700万円,2023000709,1952,万円
貯蓄,650～700万円,2023001012,1692,万円
貯蓄,650～700万円,2024000103,1746,万円
貯蓄,650～700万円,2024000406,1899,万円
貯蓄,650～700万円,2024000709,1934,万円
貯蓄,650～700万円,2024001012,2013,万円
貯蓄,650～700万円,2025000103,2233,万円
貯蓄,650～700万円,2025000406,2189,万円
貯蓄,650～700万円,2025000709,2421,万円
貯蓄,650～700万円,2025001012,1967,万円
貯蓄,700～750万円,2002000103,1483,万円
貯蓄,700～750万円,2002000406,1553,万円
貯蓄,700～750万円,2002000709,1554,万円
貯蓄,700～750万円,2002001012,1552,万円
貯蓄,700～750万円,2003000103,1638,万円
貯蓄,700～750万円,2003000406,1548,万円
貯蓄,700～750万円,2003000709,1381,万円
貯蓄,700～750万円,2003001012,1283,万円
貯蓄,700～750万円,2004000103,1377,万円
貯蓄,700～750万円,2004000406,1722,万円
貯蓄,700～750万円,2004000709,1774,万円
貯蓄,700～750万円,2004001012,1604,万円
貯蓄,700～750万円,2005000103,1793,万円
貯蓄,700～750万円,2005000406,1809,万円
貯蓄,700～750万円,2005000709,1693,万円
貯蓄,700～750万円,2005001012,1823,万円
貯蓄,700～750万円,2006000103,1933,万円
貯蓄,700～750万円,2006000406,1718,万円
貯蓄,700～750万円,2006000709,1486,万円
貯蓄,700～750万円,2006001012,1660,万円
貯蓄,700～750万円,2007000103,1626,万円
貯蓄,700～750万円,2007000406,1611,万円
貯蓄,700～750万円,2007000709,1621,万円
貯蓄,700～750万円,2007001012,1733,万円
貯蓄,700～750万円,2008000103,1733,万円
貯蓄,700～750万円,2008000406,1428,万円
貯蓄,700～750万円,2008000709,1352,万円
貯蓄,700～750万円,2008001012,1626,万円
貯蓄,700～750万円,2009000103,1622,万円
貯蓄,700～750万円,2009000406,1448,万円
貯蓄,700～750万円,2009000709,1339,万円
貯蓄,700～750万円,2009001012,1291,万円
貯蓄,700～750万円,2010000103,1352,万円
貯蓄,700～750万円,2010000406,1369,万円
貯蓄,700～750万円,2010000709,1366,万円
貯蓄,700～750万円,2010001012,1348,万円
貯蓄,700～750万円,2011000103,1476,万円
貯蓄,700～750万円,2011000406,1456,万円
貯蓄,700～750万円,2011000709,1513,万円
貯蓄,700～750万円,2011001012,1504,万円
貯蓄,700～750万円,2012000103,1410,万円
貯蓄,700～750万円,2012000406,1463,万円
貯蓄,700～750万円,2012000709,1662,万円
貯蓄,700～750万円,2012001012,1768,万円
貯蓄,700～750万円,2013000103,2194,万円
貯蓄,700～750万円,2013000406,2032,万円
貯蓄,700～750万円,2013000709,1686,万円
貯蓄,700～750万円,2013001012,1572,万円
貯蓄,700～750万円,2014000103,1572,万円
貯蓄,700～750万円,2014000406,1691,万円
貯蓄,700～750万円,2014000709,1667,万円
貯蓄,700～750万円,2014001012,1649,万円
貯蓄,700～750万円,2015000103,1789,万円
貯蓄,700～750万円,2015000406,1634,万円
貯蓄,700～750万円,2015000709,1566,万円
貯蓄,700～750万円,2015001012,1552,万円
貯蓄,700～750万円,2016000103,1931,万円
貯蓄,700～750万円,2016000406,2060,万円
貯蓄,700～750万円,2016000709,1801,万円
貯蓄,700～750万円,2016001012,1820,万円
貯蓄,700～750万円,2017000103,1684,万円
貯蓄,700～750万円,2017000406,1398,万円
貯蓄,700～750万円,2017000709,1293,万円
貯蓄,700～750万円,2017001012,1494,万円
貯蓄,700～750万円,2018000103,1705,万円
貯蓄,700～750万円,2018000406,1775,万円
貯蓄,700～750万円,2018000709,1682,万円
貯蓄,700～750万円,2018001012,1713,万円
貯蓄,700～750万円,2019000103,1595,万円
貯蓄,700～750万円,2019000406,1524,万円
貯蓄,700～750万円,2019000709,1698,万円
貯蓄,700～750万円,2019001012,1842,万円
